iter	Passed	Remaining
896	2986	342
897	2989	339
898	2991	336
899	2994	332
900	2997	329
901	2999	325
902	3004	322
903	3007	319
904	3009	315
905	3012	312
906	3014	309
907	3018	305
908	3021	302
909	3024	299
910	3026	295
911	3029	292
912	3035	289
913	3037	285
914	3040	282
915	3043	279
916	3045	275
917	3050	272
918	3052	269
919	3055	265
920	3057	262
921	3059	258
922	3062	255
923	3065	252
924	3068	248
925	3070	245
926	3072	241
927	3074	238
928	3077	235
929	3080	231
930	3083	228
931	3085	225
932	3087	221
933	3089	218
934	3092	214
935	3095	211
936	3098	208
937	3100	204
938	3102	201
939	3105	198
940	3107	194
941	3110	191
942	3113	188
943	3115	184
944	3119	181
945	3123	178
946	3128	175
947	3131	171
948	3134	168
949	3136	165
950	3138	161
951	3141	158
952	3144	155
953	3146	151
954	3149	148
955	3151	145
956	3153	141
957	3156	138
958	3159	135
959	3161	131
960	3164	128
961	3166	125
962	3168	121
963	3171	118
964	3175	115
965	3177	111
966	3180	108
967	3182	105
968	3184	101
969	3187	98
970	3190	95
971	3193	91
972	3195	88
973	3197	85
974	3200	82
975	3202	78
976	3206	75
977	3209	72
978	3211	68
979	3214	65
980	3216	62
981	3218	58
982	3222	55
983	3225	52
984	3228	49
985	3230	45
986	3233	42
987	3237	39
988	3239	36
989	3241	32
990	3244	29
991	3246	26
992	3248	22
993	3252	19
994	3254	16
995	3257	13
996	3259	9
997	3262	6
998	3264	3
999	3268	0
